ZIP Code,County,SCAN Affirm,SCAN Inspired,SAN Allied,SCAN Strive ,SCAN Balance 
90075,Los Angeles,Yes,Yes,Yes,Yes,Yes
90076,Los Angeles,Yes,Yes,Yes,Yes,Yes
90077,Los Angeles,Yes,Yes,Yes,Yes,Yes
90078,Los Angeles,Yes,Yes,Yes,Yes,Yes
90079,Los Angeles,Yes,Yes,Yes,Yes,Yes
90080,Los Angeles,Yes,Yes,Yes,Yes,Yes
90081,Los Angeles,Yes,Yes,Yes,Yes,Yes
90082,Los Angeles,Yes,Yes,Yes,Yes,Yes
90083,Los Angeles,Yes,Yes,Yes,Yes,Yes
90084,Los Angeles,Yes,Yes,Yes,Yes,Yes
90086,Los Angeles,Yes,Yes,Yes,Yes,Yes
90087,Los Angeles,Yes,Yes,Yes,Yes,Yes
90088,Los Angeles,Yes,Yes,Yes,Yes,Yes
90089,Los Angeles,Yes,Yes,Yes,Yes,Yes
90090,Los Angeles,Yes,Yes,Yes,Yes,Yes
90091,Los Angeles,Yes,Yes,Yes,Yes,Yes
90093,Los Angeles,Yes,Yes,Yes,Yes,Yes
90094,Los Angeles,Yes,Yes,Yes,Yes,Yes
90095,Los Angeles,Yes,Yes,Yes,Yes,Yes
90096,Los Angeles,Yes,Yes,Yes,Yes,Yes
90099,Los Angeles,Yes,Yes,Yes,Yes,Yes
90101,Los Angeles,Yes,Yes,Yes,Yes,Yes
90102,Los Angeles,Yes,Yes,Yes,Yes,Yes
90103,Los Angeles,Yes,Yes,Yes,Yes,Yes
90134,Los Angeles,Yes,Yes,Yes,Yes,Yes
90189,Los Angeles,Yes,Yes,Yes,Yes,Yes
90201,Los Angeles,Yes,Yes,Yes,Yes,Yes
90202,Los Angeles,Yes,Yes,Yes,Yes,Yes
90209,Los Angeles,Yes,Yes,Yes,Yes,Yes
90210,Los Angeles,Yes,Yes,Yes,Yes,Yes
90211,Los Angeles,Yes,Yes,Yes,Yes,Yes
90212,Los Angeles,Yes,Yes,Yes,Yes,Yes
90213,Los Angeles,Yes,Yes,Yes,Yes,Yes
90220,Los Angeles,Yes,Yes,Yes,Yes,Yes
90221,Los Angeles,Yes,Yes,Yes,Yes,Yes
90222,Los Angeles,Yes,Yes,Yes,Yes,Yes
90223,Los Angeles,Yes,Yes,Yes,Yes,Yes
90224,Los Angeles,Yes,Yes,Yes,Yes,Yes
90230,Los Angeles,Yes,Yes,Yes,Yes,Yes
90231,Los Angeles,Yes,Yes,Yes,Yes,Yes
90232,Los Angeles,Yes,Yes,Yes,Yes,Yes
90233,Los Angeles,Yes,Yes,Yes,Yes,Yes
90239,Los Angeles,Yes,Yes,Yes,Yes,Yes
90240,Los Angeles,Yes,Yes,Yes,Yes,Yes
90241,Los Angeles,Yes,Yes,Yes,Yes,Yes
90242,Los Angeles,Yes,Yes,Yes,Yes,Yes
90245,Los Angeles,Yes,Yes,Yes,Yes,Yes
90247,Los Angeles,Yes,Yes,Yes,Yes,Yes
90248,Los Angeles,Yes,Yes,Yes,Yes,Yes
90249,Los Angeles,Yes,Yes,Yes,Yes,Yes
90250,Los Angeles,Yes,Yes,Yes,Yes,Yes
90251,Los Angeles,Yes,Yes,Yes,Yes,Yes
90254,Los Angeles,Yes,Yes,Yes,Yes,Yes
90255,Los Angeles,Yes,Yes,Yes,Yes,Yes
90260,Los Angeles,Yes,Yes,Yes,Yes,Yes
90261,Los Angeles,Yes,Yes,Yes,Yes,Yes
